243	8100	45352	34.452	42.62	43.915
244	8133.33333	3240	32.628	42.372	43.835
245	8166.66667	3576	32.623	42.203	43.606
246	8200	60560	34.405	42.372	43.559
247	8233.33333	3624	32.48	42.092	43.387
248	8266.66667	4008	32.537	41.895	43.27
249	8300	56888	34.161	42.091	43.31
250	8333.33333	3960	32.132	42.132	43.543
251	8366.66667	4704	32.29	42.092	43.479
252	8400	95408	35.091	42.683	43.932
253	8433.33333	6088	31.957	42.041	43.346
254	8466.66667	5720	32.103	41.759	43.122
255	8500	64472	34.219	41.96	43.24
256	8533.33333	6216	32.079	41.625	43.007
257	8566.66667	5992	31.933	41.51	42.791
258	8600	66936	34.025	41.681	42.867
259	8633.33333	6784	31.625	41.218	42.608
260	8666.66667	6616	31.632	41.051	42.416
261	8700	74960	33.879	41.336	42.514
262	8733.33333	6432	31.592	41.411	42.696
263	8766.66667	7152	31.864	41.55	42.677
264	8800	110608	34.664	41.93	43.04
265	8833.33333	8184	31.742	41.519	42.723
266	8866.66667	7952	31.539	41.347	42.518
267	8900	70368	33.756	41.438	42.547
268	8933.33333	8176	31.533	41.121	42.349
269	8966.66667	8288	31.496	40.97	42.103
270	9000	74208	33.488	41.064	42.168
271	9033.33333	9480	31.016	40.817	42.021
272	9066.66667	9176	31.102	40.812	41.996
273	9100	80384	33.361	40.897	42.025
274	9133.33333	9232	31.044	40.793	42.055
275	9166.66667	8672	31.541	40.831	42.149
276	9200	126472	34.196	41.363	42.491
277	9233.33333	10152	31.403	40.942	42.179
278	9266.66667	11032	31.291	40.681	41.927
279	9300	73640	33.212	40.739	41.844
280	9333.33333	11112	31.072	40.429	41.662
281	9366.66667	11152	31.025	40.399	41.507
282	9400	81680	33.076	40.449	41.479
283	9433.33333	12112	30.75	40.143	41.329
284	9466.66667	12928	30.922	40.209	41.302
285	9500	85856	33.043	40.334	41.291
286	9533.33333	12472	30.93	40.245	41.266
287	9566.66667	12784	31.234	40.492	41.504
288	9600	135384	33.966	41.101	41.853
289	9633.33333	13072	31.299	40.59	41.481
290	9666.66667	12360	31.105	40.476	41.269
291	9700	81568	33.242	40.784	41.392
292	9733.33333	13464	31.059	40.582	41.068
293	9766.66667	13912	31	40.712	41.177
294	9800	90624	33.423	40.992	41.547
295	9833.33333	13424	31.032	40.774	41.285
296	9866.66667	13376	31.172	40.988	41.38
297	9900	86656	33.472	41.369	41.656
298	9933.33333	14016	31.549	41.361	41.768
299	9966.66667	11848	31.583	41.629	41.971
300	10000	117808	34.449	42.016	42.358
